landingpage,activeusers,newusers,totalrevenue,bouncerate,averagesessionduration,sessions,clicks,impressions,ctr,position,errors
/wp-ultimate-exporter.html,2,2,0.0,1.0,6.009673,2,0,0,0,0,
/about-us.html,1,1,0.0,1.0,0.0,2,0,0,0,0,
/blog.html,1,1,0.0,1.0,0.0,1,0,0,0,0,
/blog.html/page/3,1,1,0.0,1.0,0.0,1,0,0,0,0,
/blog.html/page/6,1,0,0.0,0.0,5575.014965,1,0,0,0,0,
/blog/advanced-techniques-for-wordpress-import-and-export.html,1,1,0.0,1.0,0.0,1,0,0,0,0,
/blog/ai-generated-wordpress-content-import.html,1,1,0.0,1.0,0.0,1,0,0,0,0,
/blog/ai-wordpress-security.html,1,0,0.0,0.0,946.364005,1,0,0,0,0,
/blog/best-practices-for-wordpress-sites.html,1,1,0.0,1.0,6.976708,1,0,0,0,0,
/blog/best-woocommerce-plugins.html,1,0,0.0,1.0,2.850753,1,0,0,0,0,
/blog/build-dynamic-wordpress-sites-with-custom-post-types.html,1,1,0.0,1.0,0.0,1,0,0,0,0,
/blog/create-a-form-in-wordpress-without-plugins.html,1,1,0.0,1.0,4.880257,1,0,0,0,0,
/blog/create-an-online-store-with-wordpress.html,1,1,0.0,0.0,71.920988,1,0,0,0,0,
/blog/how-to-restore-wordpress-site-from-backup.html,1,1,0.0,1.0,2.978789,1,0,0,0,0,
/blog/import-export-elementor-as-csv.html,1,1,0.0,0.0,157.494,1,0,0,0,0,
/blog/improve-core-web-vitals-in-wordpress.html,1,1,0.0,1.0,0.0,1,0,0,0,0,
/blog/polylang-import-translation-guide.html,1,1,0.0,1.0,0.0,1,0,0,0,0,
/blog/scale-wordpress-for-high-traffic.html,1,1,0.0,1.0,0.0,1,0,0,0,0,
/blog/woocommerce-variable-pricing-calculator.html,1,1,0.0,1.0,0.0,1,0,0,0,0,
/blog/wordpress-admin-productivity-hacks.html,1,1,0.0,1.0,0.0,1,0,0,0,0,
/contact-us.html,1,0,0.0,0.0,1843.413806,1,0,0,0,0,
/documentation/woocommerce-to-shopify-integration/w2s-sync-configuration,1,1,0.0,1.0,0.0,1,0,0,0,0,
/documentation/woocommerce-to-shopify-integration/woocommerce-shopify-product-sync/embed,1,1,0.0,1.0,0.0,1,0,0,0,0,
/documentation/woocommerce-to-shopify-integration/woocommerce-to-shopify-order-sync,1,1,0.0,1.0,0.0,1,0,0,0,0,
/documentation/wp-ultimate-csv-importer-pro/how-to-import-schedule-or-update,1,1,0.0,1.0,0.0,1,0,0,0,0,
/documentation/wp-ultimate-csv-importer-pro/how-to-import-variable-products-in-woocommerce,1,1,0.0,1.0,0.0,1,0,0,0,0,
/documentation/wp-ultimate-csv-importer-pro/import-and-export-lms-data,1,1,0.0,1.0,0.0,2,0,0,0,0,
/documentation/wp-ultimate-csv-importer-pro/import-and-export-woocommerce-reviews,1,1,0.0,1.0,0.0,1,0,0,0,0,
/documentation/wp-ultimate-csv-importer-pro/import-and-export-wordpress-users,1,1,0.0,0.0,25.473177,1,0,0,0,0,
/documentation/wp-ultimate-csv-importer-pro/import-export-user-members,1,1,0.0,0.0,131.953495,1,0,0,0,0,
/documentation/wp-ultimate-csv-importer-pro/import-woocommerce-customers,1,0,0.0,0.0,7.047632,1,0,0,0,0,
/documentation/wp-ultimate-csv-importer-pro/import-wordpress-categories-and-tags/embed,1,1,0.0,1.0,0.0,1,0,0,0,0,
/documentation/wp-ultimate-csv-importer-pro/jet-engine-data-import,1,1,0.0,0.0,11.140094,1,0,0,0,0,
/documentation/wp-ultimate-csv-importer-pro/learnpress-data-import,1,1,0.0,0.0,72.708313,1,0,0,0,0,
/documentation/wp-ultimate-csv-importer-pro/rankmath-data-import-and-export,1,1,0.0,1.0,0.0,1,0,0,0,0,
/documentation/wp-ultimate-csv-importer-pro/woocommerces,1,1,0.0,0.0,95.750658,1,0,0,0,0,
/easy-inventory-and-stock-manager-for-woocommerce.html/embed,1,1,0.0,1.0,8.611912,1,0,0,0,0,
/es/blog/como-instalar-wamp-y-xampp.html,1,1,0.0,1.0,7.331399,1,0,0,0,0,
/es/blog/importar-exportar-resenas-productos-woocommerce.html,1,1,0.0,0.0,40.985538,1,0,0,0,0,
/es/blog/importar-y-exportar-clientes-de-woocommerce.html,1,1,0.0,0.0,33.158284,1,0,0,0,0,
/es/carro.html,1,1,0.0,1.0,0.0,1,0,0,0,0,
/es/documentation/wp-ultimate-csv-importer-pro/exportacion-de-wordpress-importar-una-sola-pagina,1,1,0.0,0.0,18.892818,1,0,0,0,0,
/es/documentation/wp-ultimate-csv-importer-pro/importacion-seo-por-wp-ultimate-csv-importer,1,1,0.0,1.0,0.0,1,0,0,0,0,
/es/documentation/wp-ultimate-csv-importer-pro/importar-datos-de-excel-a-wordpress,1,1,0.0,0.0,2602.411863,1,0,0,0,0,
/es/documentation/wp-ultimate-csv-importer-pro/importar-y-exportar-resenas-de-woocommerce,1,1,0.0,1.0,0.0,1,0,0,0,0,
/es/documentation/wp-ultimate-csv-importer-pro/modulos-de-importacion-csv-definitivos-de-wordpress/embed,1,1,0.0,1.0,0.0,1,0,0,0,0,
/es/politica-de-reembolso.html,1,1,0.0,0.0,16.402618,1,0,0,0,0,
/es/sobre-nosotros.html,1,1,0.0,1.0,0.0,1,0,0,0,0,
/es/wp-ultimate-csv-importer-pro/importar-campos-meta-box.html,1,1,0.0,1.0,0.0,1,0,0,0,0,
/ja/blog.html,1,1,0.0,1.0,0.0,1,0,0,0,0,
/ja/blog/add-images-to-wordpress.html,1,1,0.0,1.0,6.951393,1,0,0,0,0,
/ja/blog/ai-in-wordpress.html,1,1,0.0,1.0,0.0,1,0,0,0,0,
/ja/blog/how-to-import-csv-file-in-wordpress-without-plugin.html,1,1,0.0,0.0,10.943352,1,0,0,0,0,
/ja/blog/how-to-import-page-to-wordpress.html,1,1,0.0,0.0,931.385343,1,0,0,0,0,
/ja/blog/how-to-install-wamp-and-xampp.html,1,1,0.0,0.0,123.346989,1,0,0,0,0,
/ja/blog/import-export-custom-post-types-plugin-data.html,1,1,0.0,0.0,389.268104,1,0,0,0,0,
/ja/cart.html,1,1,0.0,1.0,0.0,1,0,0,0,0,
/ja/contact-us.html,1,1,0.0,1.0,0.0,1,0,0,0,0,
/ja/documentation/wp-ultimate-csv-importer/import-wordpress-categories-and-tags,1,0,0.0,0.0,38.611747,2,0,0,0,0,
/ja/documentation/wp-ultimate-csv-importer/polylang-multilingual-content-import-export,1,1,0.0,1.0,0.0,1,0,0,0,0,
/ja/documentation/wp-ultimate-csv-importer/troubleshooting-guide,1,0,0.0,0.0,30.94456,1,0,0,0,0,
/ja/wp-ultimate-csv-importer-pro.html,1,1,0.0,1.0,0.0,1,0,0,0,0,
/ja/wp-ultimate-csv-importer-pro/features.html,1,0,0.0,0.0,1174.883613,1,0,0,0,0,
/my-account.html/downloads,1,0,0.0,0.0,1580.787981,1,0,0,0,0,
/my-account.html/view-order/334763388,1,0,0.0,0.0,48.216462,1,0,0,0,0,
/refund-policy.html,1,1,0.0,1.0,0.0,1,0,0,0,0,
/shop,1,1,0.0,1.0,0.0,1,0,0,0,0,
/support.html,1,1,0.0,0.0,54.088698,1,0,0,0,0,
/woocommerce-to-shopify-sync-pro.html,1,1,0.0,1.0,0.0,1,0,0,0,0,
/wp-all-import-alternative.html,1,0,0.0,0.0,17.022758,1,0,0,0,0,
/wp-follow-up-emails.html,1,1,0.0,1.0,8.54196,1,0,0,0,0,
/wp-leads-builder-any-crm-pro.html,1,0,0.0,0.0,199.459125,1,0,0,0,0,
/wp-ultimate-csv-importer-pro/features.html,1,1,0.0,1.0,0.0,1,0,0,0,0,
/wp-ultimate-csv-importer-pro/import-wpml-multilingual-content.html,1,1,0.0,0.0,17.455484,1,0,0,0,0,
/wp-ultimate-csv-importer-pro/jetengine-cct-import.html,1,1,0.0,1.0,0.0,1,0,0,0,0,
/wordpress.html,0,0,0.0,1.0,0.0,1,0,0,0,0,
